,store_name,store_image,price
90,40240 독도카페,https://img.siksinhot.com/place/1347957953636144.jpg?w=280&h=224&c=Y,
91,405키친,https://img.siksinhot.com/place/1442840164417948.jpg?w=280&h=224&c=Y,9400.0
92,419김밥마을,https://img.siksinhot.com/place/1568878237758656.jpg?w=280&h=224&c=Y,
93,42RABBIT,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTAzMThfMTgw%2FMDAxNTUyOTA5OTI2MzEz.GUMZ9xMwc4xijG9PknnEOyoiIqsT7y04jAH1uPoMwuQg.pSUpp4ui0x8JlScxc3FLTdKGp_aF2H3IhzIcVKjGxLgg.JPEG.miori75%2FIMG_7184.JPG&type=b400,24000.0
94,42팩토리,https://img.siksinhot.com/place/1519056960269542.jpg?w=280&h=224&c=Y,12000.0
95,453키친,https://img.siksinhot.com/place/1438243219803155.JPG?w=280&h=224&c=Y,13900.0
96,47번가찻집,https://img.siksinhot.com/place/1462776031062982.png?w=280&h=224&c=Y,
97,4F카페,https://img.siksinhot.com/place/1347957953636144.jpg?w=280&h=224&c=Y,7000.0
98,4REST,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODAxMDJfNDEg%2FMDAxNTE0ODc3ODQ2MjA4.rhBl9vM7bwtvTTTWIF4OQR-9yaIkOpsZBIVHJiI2jvQg.PhPH0zYM_UPzmuc_sGeN8fF2sqLUz5gb6QxnbrTv5dAg.JPEG.ptdoctorchoi%2FKakaoTalk_Moim_4zaz50ht7A5K4UHpHojxQlul83E7mN.jpg&type=b400,8000.0
99,4SEED,https://search.pstatic.net/sunny/?src=http%3A%2F%2Fappdata.hungryapp.co.kr%2Fdata_file%2Fdata_img%2F201404%2F03%2FW3yppDW1396502905897422.jpg&type=b400,22000.0
100,4브라더스,https://search.pstatic.net/common/?src=http%3A%2F%2Fpost.phinf.naver.net%2F20150811_287%2Fkoh1203_1439261761387rxKSz_JPEG%2Fmug_obj_14392615920403781.jpg&type=b400,11500.0
101,5.5닭갈비,https://img.siksinhot.com/place/1493346203068182.jpg?w=280&h=224&c=Y,10000.0
102,50-14,https://img.siksinhot.com/place/1456215722853978.JPEG?w=280&h=224&c=Y,
103,500소갈비살,https://img.siksinhot.com/place/1462848327742756.png?w=280&h=224&c=Y,
104,502세컨즈카페,https://img.siksinhot.com/place/1347957953636144.jpg?w=280&h=224&c=Y,3500.0
105,523,https://img.siksinhot.com/place/1359550605732779.JPG?w=280&h=224&c=Y,29000.0
106,55번지라면,https://img.siksinhot.com/place/1466646852829981.jpg?w=280&h=224&c=Y,
107,58도씨,https://img.siksinhot.com/place/1458007916713653.JPEG?w=280&h=224&c=Y,2000.0
108,597카페,https://img.siksinhot.com/place/1347957953636144.jpg?w=280&h=224&c=Y,3500.0
109,599버거,https://img.siksinhot.com/place/1518398234436547.jpg?w=280&h=224&c=Y,
110,5dining,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA0MTJfNjMg%2FMDAxNTg2NjU4MzgxODI0.QKAhnqq8vihbZnRCqwNUTycyDiCyIqA3xbmG6dIcYjQg.9i9hc2QcougSWsWvlGZTkw7CyXqtAS-ppmeCQU5ROpwg.JPEG.time_faint%2FIMG_3602.jpg&type=b400,
111,60계,https://img.siksinhot.com/place/1519391848236700.jpg?w=280&h=224&c=Y,
112,60계 치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,18900.0
113,60계치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,
114,60년전통 신촌황소곱창,https://img.siksinhot.com/place/1518068195877947.jpg?w=280&h=224&c=Y,18000.0
115,60년전통신촌황소곱창,https://img.siksinhot.com/place/1518068195877947.jpg?w=280&h=224&c=Y,17000.0
116,61224,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160704_276%2Fsujinoh48_1467630189026rtK7T_JPEG%2F20160703_182626.jpg&type=b400,9000.0
117,63 프로방스,https://img.siksinhot.com/place/1394183743466592.png?w=280&h=224&c=Y,5500.0
118,63뷔페 파빌리온,https://img.siksinhot.com/place/1352275750503345.jpg?w=280&h=224&c=Y,79000.0
119,6484쪽갈비,https://img.siksinhot.com/place/1462848327742756.png?w=280&h=224&c=Y,15000.0
120,650,https://img.siksinhot.com/place/1506321864082894.jpg?w=280&h=224&c=Y,12000.0
121,667다이닝펍,https://img.siksinhot.com/place/1486711262672122.jpeg?w=280&h=224&c=Y,17000.0
122,67soho,https://img.siksinhot.com/place/1532929941549010.jpg?w=280&h=224&c=Y,11000.0
123,6842 고기밥상,https://img.siksinhot.com/place/1505803157487019.jpg?w=280&h=224&c=Y,8000.0
124,7 Brau Pub,https://img.siksinhot.com/place/1551856043672257.jpg?w=280&h=224&c=Y,15000.0
125,72420,https://img.siksinhot.com/place/1527568679452298.PNG?w=280&h=224&c=Y,
126,7272떡볶이,https://img.siksinhot.com/place/1463990798056322.jpg?w=280&h=224&c=Y,10000.0
127,72타코,https://img.siksinhot.com/place/1469168520888013.jpg?w=280&h=224&c=Y,10500.0
128,79네 수육국밥 & 보쌈,https://img.siksinhot.com/place/1463973873572437.jpg?w=280&h=224&c=Y,
129,79번지국수집,https://img.siksinhot.com/place/1463636665056446.png?w=280&h=224&c=Y,5000.0
130,7ate9,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20130810_211%2Fcome7ate9_1376125252623saIgv_JPEG%2F1376125267795_1376124736849_edit.jpg&type=b400,16000.0
131,7번가피자,https://img.siksinhot.com/place/1448354044120845.JPG?w=280&h=224&c=Y,29500.0
132,7분도초밥,https://img.siksinhot.com/place/1355377152041942.jpg?w=280&h=224&c=Y,9500.0
133,7프로 칠백식당,https://img.siksinhot.com/place/1500086364882359.PNG?w=280&h=224&c=Y,29000.0
134,808슈퍼스토어,https://img.siksinhot.com/place/1522113619648652.jpg?w=280&h=224&c=Y,8800.0
135,80년전통 원조순대국,https://img.siksinhot.com/place/1526655284517050.jpg?w=280&h=224&c=Y,8000.0
136,80티,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA1MjZfNTYg%2FMDAxNTU4ODUyNDAxMzA4.V62F0qSgs01RU2Zh4j5NXEA2LdPwmHqG9Vd9YIFN3SYg.Of-ZV88S7jvUgQIv_z5hb9XXVyLa4cHKGlKr9yAb7zwg.PNG.voramines%2F8080.png&type=b400,
137,817workshop,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160815_219%2Fyousky0113_1471268048281yGGQI_JPEG%2F%25BF%25F6%25C5%25A9%25BC%25A5%25B8%25DE%25C0%25CE.jpg&type=b400,4500.0
138,81CC,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20170718_80%2F1500378485934fVLly_JPEG%2Fb05fb3fe-a9df-4172-abcd-6a0a3e481411.jpeg&type=b400,15000.0
139,81회수산,https://img.siksinhot.com/place/1450702633773486.jpg?w=280&h=224&c=Y,
140,823m,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEyMDRfMTUg%2FMDAxNTQzOTEzNDk4Njc0.KLaqAaZ51BEzaNh-eL6slmXr-t0INdXkrAgM4lHeqKYg.8Gj0OwUlAPL0nVJTVaJYBLTNAqJEf4sxlBNln_1DHLwg.JPEG.dutajrdma%2F%25BF%25AC%25BD%25C5%25B3%25BB_%25C4%25AB%25C6%25E4_823M.JPG&type=b400,4000.0
141,82길,https://img.siksinhot.com/place/1473217662411273.jpg?w=280&h=224&c=Y,18000.0
142,82년생 김민경,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAzMDhfMjEy%2FMDAxNTgzNTk0NjA4NDI5.Ze0cFghAfsOTq4jpzVr_-JAlOv4QBtZ17IfAXPkkszsg.8afSIBtpX9jYeODouXycOlyWnqFtOwtRntNktQxVMCIg.JPEG.stcher26%2Foutput_4084055286.jpg&type=b400,
143,853,https://img.siksinhot.com/place/1540951465245836.JPG?w=280&h=224&c=Y,14000.0
144,8689 마라탕,https://img.siksinhot.com/place/1566547489605166.jpg?w=280&h=224&c=Y,1600.0
145,868식당,https://img.siksinhot.com/place/1500086364882359.PNG?w=280&h=224&c=Y,15000.0
146,88선수촌,https://img.siksinhot.com/place/1551339226947152.png?w=280&h=224&c=Y,
147,88소곱창,https://img.siksinhot.com/place/1552631303067108.JPG?w=280&h=224&c=Y,22000.0
148,88양꼬치,https://img.siksinhot.com/place/1355887436319480.jpg?w=280&h=224&c=Y,
149,89Mansion,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEwMzBfMTc3%2FMDAxNTcyNDAwNTM4NTAz.UDzYsAJrCc4OUliRZ4uc6rv5JgWvU7kYEUQkxTdBsNQg.Nt6TdhJbrHf3n0FIHUgFWDxXe8LHAoeiz1i_1ICx1aUg.JPEG.hakhyun22%2F89%25B8%25C7%25BC%25C7%252889MANSION%2529.jpg&type=b400,7000.0
150,8ft,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F1490%2F5112%2Fproducts%2F01500487_00_large.jpg%3Fv%3D1478050095&type=b400,
151,8번가,https://img.siksinhot.com/place/1527741530671061.jpg?w=280&h=224&c=Y,19800.0
152,8월,https://img.siksinhot.com/place/1494158353245158.jpg?w=280&h=224&c=Y,
153,8커피,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA4MDZfMTg3%2FMDAxNTMzNTY0MDk0MDIy.9PWMN6F6yf9zu5Mo-uGmK2wxfcMjdjdNicldPmzS4Oog.0WlkXYo5HKvMpa0lYwqnb7f1PTSS4buYOVjsJRyhSD4g.JPEG.rednbk%2FBOARD_000000010000038201.jpg&type=b400,3800.0
154,916솜씨,https://img.siksinhot.com/place/1462776815885079.png?w=280&h=224&c=Y,
155,9279 잘군,https://img.siksinhot.com/place/1549853373861122.png?w=280&h=224&c=Y,
156,948kitchen,https://img.siksinhot.com/place/1494087440985534.jpg?w=280&h=224&c=Y,12900.0
157,972Bar,https://img.siksinhot.com/place/1576722551336096.jpg?w=280&h=224&c=Y,3000.0
158,9988숯불구이,https://img.siksinhot.com/place/1463034891302615.png?w=280&h=224&c=Y,
159,99스트리트,https://img.siksinhot.com/place/1458958896656502.jpg?w=280&h=224&c=Y,
160,99스트리트치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,
161,9공탄,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20140124_57%2Fyujin0000_1390539939427Q2t2x_JPEG%2F%25BB%25EF%25B0%25A2%25C1%25F6_9%25B0%25F8%25C5%25BA_%252820%2529.JPG&type=b400,13000.0
162,??야 슈토,https://img.siksinhot.com/place/1394292303210573.png?w=280&h=224&c=Y,55000.0
163,A4아시안키친,https://img.siksinhot.com/place/1526279359942003.PNG?w=280&h=224&c=Y,22000.0
164,add coffee & lounge,https://img.siksinhot.com/place/1479192144787606.jpg?w=280&h=224&c=Y,4000.0
165,After Jerk Off,https://img.siksinhot.com/place/1556866933058018.jpg?w=280&h=224&c=Y,5000.0
166,AFTER WORK BBQ,https://img.siksinhot.com/place/1464573143070620.png?w=280&h=224&c=Y,
167,AID카페,https://img.siksinhot.com/place/1347957953636144.jpg?w=280&h=224&c=Y,4000.0
168,AND THEN SOME TABLE,https://img.siksinhot.com/place/1392342950714098.jpg?w=280&h=224&c=Y,
169,APT,https://img.siksinhot.com/place/1477016707825856.JPG?w=280&h=224&c=Y,4500.0
170,Artisan croissant,https://img.siksinhot.com/place/1519018824125384.jpg?w=280&h=224&c=Y,
171,arvo,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAyMDRfMjQ1%2FMDAxNTgwODE2MDM2ODQ3.OpJWV2e6-PTZmMJYxUGp25qHv-8I7P5G3Mge_c0PNMAg.LO2s6kP7jpjTGJxfwpOw9S7OGegseMTNl0htJliRWRsg.JPEG.never_finish_holiday%2FARVO%25C7%25EC%25BE%25EE%25BF%25C0%25C0%25CF08.JPG&type=b400,8000.0
172,AUN,https://img.siksinhot.com/place/1499924541005648.jpg?w=280&h=224&c=Y,
173,B TRAVEL CAFE,https://img.siksinhot.com/place/1471161432864919.PNG?w=280&h=224&c=Y,4800.0
174,bake a day,https://img.siksinhot.com/place/1402459926900333.PNG?w=280&h=224&c=Y,
175,Baks,https://search.pstatic.net/sunny/?src=http%3A%2F%2Fs3cdn-test-lookbooknu.netdna-ssl.com%2Ffiles%2Flooks%2Fmedium%2F2017%2F03%2F05%2F5137674_image.jpg%3F1488693104&type=b400,
176,bangida,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEwMDJfNjIg%2FMDAxNTM4NDM2ODYyMzE4.OZukw4PvusHjwHe3JJFVd9BY_tQ1ZTK2g8VdpiRoTdsg.JN60oqfe4D_q0BCMqyAtMUkvavpNOA_otDKwnENPK3kg.JPEG.huedentist%2F%25C0%25CD%25BC%25B1%25B5%25BF%25C7%25D1%25BD%25C4_%25B9%25DD%25B1%25E2%25B4%25D9Bangida_%25BF%25AC%25BC%25BC%25C8%25DE%25C4%25A1%25B0%25FA%25B4%25E4%25BD%25CA%25B8%25AE_%25B5%25BF%25B4%25EB%25B9%25AE%25C1%25A1_%25287%2529.jpg&type=b400,25000.0
177,BBQ,https://img.siksinhot.com/place/1464573143070620.png?w=280&h=224&c=Y,18000.0
178,BBQ 치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,21000.0
179,BBQ치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,16000.0
180,Benebene2010,https://img.siksinhot.com/place/1541839020181070.jpg?w=280&h=224&c=Y,
181,bestin coffee 월드베스트커피,https://img.siksinhot.com/place/1569396462354951.jpg?w=280&h=224&c=Y,
182,BHC,https://img.siksinhot.com/place/1489385892632429.jpg?w=280&h=224&c=Y,
183,BHC Chicken,https://img.siksinhot.com/place/1393074937877077.jpg?w=280&h=224&c=Y,
184,BHC치킨,https://img.siksinhot.com/place/1491962216167189.jpg?w=280&h=224&c=Y,18000.0
185,BLACK COZY,https://img.siksinhot.com/place/1455186808763105.jpg?w=280&h=224&c=Y,4000.0
186,BNHR,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAzMTNfMTYx%2FMDAxNTg0MTA0ODUzMTk3.wwHef7djdYYF7uOW39fkz9f8W3YQv0YYvZGv9jidu28g.JLxRle2F3ad-KQF3a-JLhW4K_1pHfKAj-3sjhufyOXUg.JPEG.keiko0%2FIMG_1995.JPG&type=b400,6000.0
187,Boss coffee,https://img.siksinhot.com/place/1393249720374272.png?w=280&h=224&c=Y,
